Agglo;Habitants;Dpt;Zone;Cambriolage;VolVoiture
Montereau Fault Yonne;34463;77;Police;4.58;1.68
Montfort sur Meu;111844;35;Gendarmerie;3.21;0.45
Montgeron;61073;91;Police;8.89;3.59
Montlucon;57287;3;Police;4.54;0.87
Montlucon;53950;3;Gendarmerie;1.98;0.3
Montmorency;88621;95;Gendarmerie;5.86;6.7
Montmorillon;71790;86;Gendarmerie;2.19;0.49
Montpellier;281787;34;Police;10.89;3.25
Montreuil;102770;93;Police;8.7;3.53
Montrouge;81216;92;Police;4.69;1.34
Moret sur Loing;33015;77;Police;5.33;1.48
Morlaix;20180;29;Police;4.36;1.64
Mortagne au Perche;75815;61;Gendarmerie;5.46;1.16
Moulins;36472;3;Police;3.1;0.38
Moulins;53619;3;Gendarmerie;2.98;0.28
Mulhouse;136971;68;Police;5.92;1.18
Mulhouse;126879;68;Gendarmerie;5.34;0.75
Mure ;69176;38;Gendarmerie;5.26;0.84
Muret;140950;31;Gendarmerie;8;1.7
Nancy;256956;54;Police;7.27;1.53
Nancy;109501;54;Gendarmerie;5.33;1.23
Nantes;416069;44;Police;8.22;2.62
Nantes;123159;44;Gendarmerie;7.88;1.5
Narbonne;51039;11;Police;5.84;2.78
Narbonne;101835;11;Gendarmerie;8.49;2.37
Nemours;33262;77;Police;5.23;1.83
Nerac;38663;47;Gendarmerie;5.28;0.65
Neufchateau;85372;88;Gendarmerie;5.17;1.23
Neufchatel en Bray;73239;76;Gendarmerie;3.26;1.43
Neuilly sur Marne;54006;93;Police;6.52;3.3
Neuilly sur Seine;61754;92;Police;3.87;1.12
Nevers;36762;58;Police;6.37;1.09
Nevers;85669;58;Gendarmerie;3.91;0.71
Nice;348723;6;Police;11.34;2.35
Nice;80758;6;Gendarmerie;4.67;1.75
Nimes;101841;30;Gendarmerie;9.16;3.64
Nimes;142205;30;Police;13.07;5.82
Niort;63310;79;Police;4.64;1.15
Niort;146200;79;Gendarmerie;3.25;0.5
Noeux les Mines;29941;62;Police;3.14;0.67
Nogent le Rotrou;38851;28;Gendarmerie;4.12;0.88
Nogent sur Marne;97584;94;Police;5.88;2.27
Nogent sur Seine;52400;10;Gendarmerie;6.24;1.66
Noisiel;89567;77;Police;6.9;4.13
Noisy le Grand;69370;93;Police;4.57;3.08
Nontron;48300;24;Gendarmerie;3.83;0.46
Noumea;97579;988;Police;7.67;5.41
Nouvelle Caledonie;148001;988;Gendarmerie;5.3;2.51
Nyons;31176;26;Gendarmerie;6;1.6
Oloron Sainte Marie;54515;64;Gendarmerie;2.37;0.55
Ondaine;52217;42;Police;5.61;2.03
Orange;29135;84;Police;5.22;1.72
Orange;72488;84;Gendarmerie;6.47;1.74
Orleans;250363;45;Police;6.38;2.36
Orleans;138562;45;Gendarmerie;4.95;1.41
Orthez;56902;64;Gendarmerie;3.01;0.58
Oyonnax;29663;1;Police;3.74;0.84
Palaiseau;110975;91;Police;6.69;2.01
Palaiseau;125597;91;Gendarmerie;6.55;4.3
Pamiers;15372;9;Police;9.11;1.17
Pamiers;60957;9;Gendarmerie;5.56;0.64
Pantin;54136;93;Police;6.85;2.09
Papeete;26017;987;Police;10.57;0.92
Parentis en Born;57855;40;Gendarmerie;5.81;0.74
Paris;2243833;75;Police;5.37;1.17
Parthenay;64465;79;Gendarmerie;4.56;0.74
Pau;138381;64;Police;4.49;1.2
Pau;114711;64;Gendarmerie;2.47;0.46
Perigueux;61874;24;Police;4.77;1.26
Perigueux;64558;24;Gendarmerie;4.83;0.4
Peronne;89175;80;Gendarmerie;7;1.78
Perpignan;117419;66;Police;9.62;3.54
